BIL,NAMA SYARIKAT,ALAMAT,KOD BENGKEL (BKA642J***J***),TARIKH SAH LAKU,KATEGORI,RUJ. SIJIL,NO TEL,EMAIL,SYARIKAT PERUNDING,JURUTERA PROFESIONAL,AKTIVITI BENGKEL,Negeri,Tempoh Sah
22,WYLIE VEHICLES BODY,"765, Jalan Besar, Seberang Perai, Selatan, 14200 Sg. Bakap, Pulau Pinang.",BKA654P018J021,18-Jul-23,A,(38)Jld.31,04-5826795,wylievehiclesbody@yahoo.com,FCC CONSULTING ENGINEER,DATO' IR. FOONG CHOY CHYE,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Termasuk Box/Luton, Refrigerated, Insulated, Tipper Dan Kargo Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis",Pulau Pinang,Laku
23,YOHAN BUS COACH BUILDER,"Plot 63, Bukit Minyak Industrial Park, Bukit Tengah, Bukit Mertajam, Pulau Pinang.",BKA654P019J024,23-Mar-24,A,(08)Jld.42,04-5081053,yohanbuscoach@gmail.com,TRANSAFE COUNSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis bas Sahaja.",Pulau Pinang,Laku
24,YONMING AUTO & INDUSTRIAL PARTS (BUTTERWORTH) SDN BHD,"Lot 2493, Jalan Assumption, Hujung Batu, 12100 Butterworth, Pulau Pinang",BKA654P020J023,30-Oct-22,B,(06)Jld.26,04-3232533,ymbw@yonming.com,FCC CONSULTING ENGINEER,DATO' IR. FOONG CHOY CHYE,"AKTIVITI:
1. Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid, Pengerak Utama, Trailer/Tanker, Jentera Berat Dan Bas Sahaja.",Pulau Pinang,Laku
1,ACEGOLD MANUFACTURER SDN. BHD,"Batu 10, Jalan Labuk, P.o. Box 1586,90717 Sandakan, Sabah.",BKA654S001J032,22-Feb-23,A,(28)JLD. 29,089-671916,cvincentay13@gmail.com,MNFF ENGINEERING SERVICES,IR. MUSTAFFA BIN TEK,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Sabah,Laku
2,AULIS AUTO SND. BHD.,"A-126,Km 11, Jalan Tuaran,89397 Inanam, Kota Kinabalu, Sabah.",BKA642S002J031,8-Oct-20,A,(24)Jld.3,088-388600,aulis@streamyx.com,ATL KONSULT SDN BHD,IR. LEE HOCK LOONG,"AKTIVITI:
1. Membina Semula Kenderaan Perdagangan (Rebuilt).
2. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis kenderaan Rigid Dan Box/Luton Van Sahaja.",Sabah,Tamat
3,BENTENG MOTOR SDN BHD,"No 54, CL015317272, Mile 7 1/2, Jalan Tuaran - Inanam, Kota Kinabalu, Sabah, East Malaysia, P.O.Box No:A-126 89357 Inanam Sabah, East Malaysia.",BKA642S003J031,4-Mar-17,A,(26) Jld.131,088-388600,aulisauto@gmail.com,ATL KONSULT SDN BHD,IR. LEE HOCK LOONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Sahaja.",Sabah,Tamat
4,BERESTU CORPORATION (M) SDN. BHD.,"Lot 3A & 4A, Industrial Zone 8A (IZ8A), Jalan KKIP Timur 2A, Kota Kinabalu Industrial Park (KKIP), 88460 Kota Kinabalu, Sabah",BKA654S004J031,17-Apr-21,A,(24) Jld.8,088-494725,berestucorporation16@gmail.com,PERUNDING 1 ABADI,IR. HASHIM BIN HASSAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box Van Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Sabah,Tamat
5,BOON KOON VEHICLES INDUSTRIES SDN BHD,"Lot 16 DBKK Building, No 18 Jalan 1D, KKIP Selatan Industrial Zone 3, Kota Kinabalu Industrial Park (KKIP), 88460 Kota Kinabalu, Sabah",BKA642S005J031,16-Jul-20,A,(22)Jld.5,012-5981077,bkvi@boonkoon.com,ANTARA JURUTERA PERUNDING SDN BHD,IR SHAMIL BIN ABU HASAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan  Rigid Dan Van  Sahaja.",Sabah,Tamat
6,BORNEO AUTOMOTIVE SDN BHD,"Lot No. 4, Lorong Tembaga Tiga,Kawasan MIEL KKIP, JalanSepagar, Menggatal, 88450 Kota Kinabalu, Sabah",BKA654S006J032,19-Dec-23,A,(06)Jld.40,088-492828,borneoautomotive@gmail.com,TRANSTECH CONSULTING ENGINEER,IR. SAIFULA AZIZI BIN MOHAMAD SAAD,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Box/Luton Van Sahaja.",Sabah,Laku
7,BORNEO INTAN SDN. BHD.,"Miles 6 ½ , Jalan Tuaran, Inanam,P.O. Box 11510,88816 Kota Kinabalu,Sabah.",BKA654S007J032,14-Dec-22,A,(02)Jld.28,088-420491,N/A,CSOOI CONSULTANCY,IR. OOI CHEE SIONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Sabah,Laku
8,ECM COACHBUILDERS SDN BHD,"Lot No. 11 & 12 Lrg. Selatan 1A, KKIP,Jalan Sepanggar, 88450 Menggatal,Sabah",BKA654S008J031,4-Aug-23,A,(04)Jld.34,088-368997,ecmcoach@yahoo.com.my,TRANSAFE CONSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Bas Sahaja.",Sabah,Laku
9,FHENG KONG ENGINEERING SDN BHD,"Batu 1 ½,Jalan Dam,P.O. Box 60126,91111 Lahat Datu,Sabah",BKA642S009J031,20-May-12,A,,,,,,,Sabah,Tamat
10,FIRST PLAN SDN BHD,"Lot 1 Industrial Zone 8A, KKIP Timur, 88460 Kota Kinabalu, Sabah.",BKA654S010J032,4-May-23,A,(18)Jld. 32,088-492969,firstplankk@gmail.com,RAZALIONE CONSULTING ENGINEER,IR. WAN SAPIANSORI BIN WAN ABD GHANI,"AKTIVITi:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Luton/Box Van Dan Pick-Up Sahaja",Sabah,Laku
11,GEN SEN ENGINEERING SDN. BHD.,"Lot 54, Miles 7 1/2, Jalan Tuaran,88450 Inanama, Kota Kinabalu,Sabah.",BKA654S011J031,1-Sep-22,A,(14)Jld.23,088-428900,N/A,CSOOI CONSULTANCY,IR. OOI CHEE SIONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis kenderaan Rigid Dan Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Sabah,Laku
12,HAP SENG INDUSTRIAL SDN BHD,"Batu 10 ½ , Jalan Apas,P.S.240, 91007 Tawau, Sabah.",BKA642S012J031,2-Mar-12,A,,,,,,,Sabah,Tamat
13,HI-TECH ELECTRONIC CENTER.,"CL-015485855, Warehouse Mile 8, Jalan Tuaran Inanam, 88450 Kota Kinabalu, Sabah.",BKA654S032J032,1-Nov-23,B,(14)Jld.38,019-8509771,hitechelectronicc@gmail.com,PERUNDING 1 ABADI,IR. HASHIM BIN HASSAN,"AKTIVITI:
1. Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Jenis Kenderaan Decontrolled, Jip, Pick-Up Dan Van Sahaja.",Sabah,Laku
14,HO BROTHER METAL WORKS CO.,"Batu 11, Jalan Labuk,PPM 110 Elopura,90000 Sandakan, Sabah.",BKA642S013J031,19-Jul-22,A,(16)Jld.21,089-531215,suitabaru12@gmail.com,MNFF ENGINEERING SERVICES,IR. MUSTAFFA BIN TEK,"AKTIVITI:
10. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid Sahaja.
3. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Sabah,Laku
15,HYC ENGINEERING SDN BHD,"CL 075367243, Batu 10, Jalan Labuk,WDT 128, 90009 Sandakan,Sabah.",BKA654S014J031,14-Jul-22,A,(12)Jld. 21,089-533372,hycesb@hotmail.com,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Kenderaan Decontrolled Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Sabah,Laku
16,INDUSTRI OTOMOBIL ARUS PELANGI SDN BHD,"Lot 16 DBKK Building, No 18 Jalan 1D, KKIP Selatan Industrial Zone 3, Kota Kinabalu Industrial Park (KKIP), 88460 Kota Kinabalu, Sabah",BKA654S015J031,24-Sep-22,A,(06)Jld. 25,088-493494,ioapsb@yahoo.com,PERUNDING GAGASAN PRIMA SDN BHD,IR. MOHD NAWI BIN SALLEH,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Sahaja.",Sabah,Laku
17,JARRI ENGINEERING SDN BHD,"CL015349863, Lorong Burung Keleto, Nountun Baharu, Tuaran Bypass Inanam, 88450 Inanam, Kota Kinabalu, Sabah.",BKA654S016J031,22-Jul-23,A,(02) Jld 34,088-490511,jarrikk@gmail.com,ATL KONSULT SDN BHD,IR. LEE HOCK LOONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal bagi Semua Jenis  Lori Dan Van Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Sabah,Laku
18,KENMAS SDN BHD,"Batu 6, Jalan Putatan, P.O Box 16767, 88725 Kota Kinabalu, Sabah.",BKA642S017J031,31-Mar-18,B,(28)Jld. 140,088-760203,kenmas_s@yahoo.com.my,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid, Lori, Tipper, Bas, Box/Luton Van Dan Pick-Up Sahaja.",Sabah,Tamat
19,KINA-AUTO SERVICE.,"Lot 13, Inanam Baru Light Industrial Warehouse, Inanam, Sabah, P.O. Box 13013, 88833 Kota Kinabalu, Sabah.",BKA642S018J031,15-May-20,B,(10)JLD 4,088-421321,kinautoservice@gmail.com,CSOOI CONSULTANCY,IR. OOI CHEE SIONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Kenderaan Decontrolled Sahaja.",Sabah,Tamat
20,KOMPONEN SURIA SDN. BHD.,"Mile 7 ½ , North Road, Sandakan,P.O. Box 3267, 90736 Sandakan, Sabah",BKA654S019J032,8-Aug-23,A,(16)Jld.34,089-674884,soonfohmachinery@gmail.com,MENARA TEKNIK,IR. HJ. MOHAMAD MOHAIDIN BIN AB. LATIB,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Kenderaan Decontrolled Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Sabah,Laku
21,KUHARA AUTO SERVICE,"TB.A1 Lot A1 1/2 Storey Terrace, Lorong Industrial Megah Jalan Tiku, 91007 Tawau, Sabah",BKA654S020J032,26-Jan-24,B,(10)JLD 41,089-756589,saladinnajib@gmail.com,ARZ CONSULTING ENGINEERS SDN BHD,IR. HJ. ABDUL RAHMAN BIN HASHIM,"AKTIVITI:
1. Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Decontrolled Dan Van Sahaja.",Sabah,Tamat
22,LENHAUTO COACH MANUFACTURER SDN. BHD,"No 13, Jalan Tuaran Inanam, Kota Kinabalu,P.O. Box A-113, 09357 Inanam, Sabah",BKA654S021J032,24-Apr-23,A,(28)Jld.30,088-424333,vincentay@gmail.com,MNFF ENGINEERING SERVICES,IR. MUSTAFFA BIN TEK,"AKTIVITI:
1. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Sabah,Laku
23,NGUI SOON ROOM REFRIGERATED SDN. BHD.,"Lot No. 4, Inanam Light Industry,7 2,Miles, Jalan Tuaran,89357 Inanam, Kota Kinabalu, Sabah.",BKA642S022J031,27-Feb-13,A,(02)Jld.88,,,,,,Sabah,Tamat
24,SALEH TRUCK & TRAILER MANUFACTURING SDN BHD,"Lot 3A, Industrial Zone 8A (IZ8A), Jalan KKIP Timur 2A, Kota Kinabalu Industrial Park (KKIP), 88460 Kota Kinabalu, Sabah",BKA654S023J032,17-April-23,A,(30)Jld.29,088-704597,salehtrk02@yahoo.com,AAREC CONSULTANT,IR. AZHAN BIN AB RAHMAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box Van Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Sabah,Laku
25,SANDAKAN UTILITY MOTOR SDN BHD,Batu 10 Labuk Road 90000 Sandakan Sabah,BKA642S024J031,24-Apr-19,A,(10) Jld.150,089-673878,ckhsteve@gmail.com,PERUNDING 1 ABADI,IR. HASHIM BIN HASSAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Sabah,Tamat
26,SEN LEN ENGINEERING,"KM 9, Jalan Tuaran Inanam, P.O.Box A-94, 89357 Inanam, Sabah.",BKA654S025J031,1-Sep-22,A,(14)JLD 23,088-422232,N/A,CSOOI CONSULTANCY,IR. OOI CHEE SIONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Tersebut Sahaja.",Sabah,Laku
27,SOON FOH MACHINERY SUPPLIER SDN BHD,"Batu 7 1/2, Jalan Labuk,P.O. Box 3267,90736 Sandakan, Sabah.",BKA654S026J032,15-Nov-22,A,(26)JLD 26,089-674884,soonfohmachoinery@yahoo.com,MENARA TEKNIK,IR. MOHAMAD MOHAIDIN BIN AB. LATIB,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Tersebut Sahaja.",Sabah,Laku
28,STLL AUTOMOBILE SDN BHD,"Lot 30, Industrial Zone 4 (IZ4) KKIP Kota Kinabalu, Sabah.",BKA642S027J031,3-Mar-15,A,(10)JLD 110,,,TRANSAFE CONSULTING ENGINEER,IR. MOHD ZAWAWI BIN HAJI HASSAN,,Sabah,Tamat
29,TS TOP INDUSTRIES SDN BHD,"Lot 20, Jalan 1G, KKIP Selatan, Industrial Zone 4, P.O. Box A-437, Kota Kinabalu Ibdustrial Park (KKIP) 89357 Kota Kinabalu, Sabah.",BKA654S028J032,6-Dec-22,A,(22)JLD. 27,088-493888,wnkong@tssgroup.com.my,FCC CONSULTING ENGINEER,DATO' IR. FOONG CHOY CHYE,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Kenderaan Decontrolled Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Sabah,Laku
30,UNIMAX AUTOMOBILE SDN BHD,"Km 21, Jalan Apas, 91041 Tawau,Sabah",BKA642S029J031,27-Sep-12,A,(06)Jld.84,089-779690,N/A,MEGAVISA SDN BHD,IR. CHEONG VAI YAN,,Sabah,Tamat
31,WMK COLD ROOM REFRIGERATION SDN. BHD.,"Lot 3A, Lorong 7 Kacang Tanah, Kurnia Industrial Kolombong, 88450 Kota Kinabalu, Sabah.",BKA654S030J031,1-Sep-22,A,(12)Jld.23,088-382549,wmk.slee@gmail.com,CSOOI CONSULTANCY,IR. OOI CHEE SIONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Lori Refrigerated Sahaja.",Sabah,Laku
32,YONMING AUTO & INDUSTRIAL PARTS (KK) SDN BHD,"Lot 76, Lot 4A, Sedco Industrial Estate Phase 2, Jalan Kilang Kolombong, Mile 5.5, Tuaran Road, 88450 Kota Kinabalu.",BKA654S031J031,31-Aug-22,B,(18)Jld.23,088-393373,ymmr@yonming.com,FCC CONSULTING ENGINEER,DATO' IR. FOONG CHOY CHYE,"AKTIVITI:
1. Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid, Pengerak Utama, Trailer/Tanker, Jentera Berat Dan Bas Sahaja.",Sabah,Laku
1,ACE CRAFT SDN BHD.,"Lot 6015, Batu 7 1/2, Jalan Rawang, 68100 Batu Caves, Selangor.",BKA654B151J163,2-Sep-23,A,(10) Jld. 35,018-3112000,acecraftsb@gmail.com,TRANSAFE CONSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Lori Rigid, Luton/Box Van Dan Kenderaan Decontrolled Sahaja.",Selangor,Laku
2,AGRIQUIP MACHINERY SDN BHD,"Lot 5936, Jalan Salak Timggi/Banting, RTB Bukit Changgang/Banting, 42700 Banting, Selangor.",BKA642B001J123,13-May-14,A,(16) Jld. 101,03-31491133,amkadur@streamyx.com,TRANSAFE CONSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Selangor,Tamat
3,AH SANG MOTOR WORKSHOP SDN BHD,"Lot 20, Jalan Utarid U5/26, Seksyen U5, Mah Sing Intergrated Industrial Park, 40150 Shah Alam, Selangor",BKA642B002J123,6-Nov-18,A,(16) Jld. 147,03-78459019,ahsangmotor@hotmail.com,SOLID AUTO TECHNIQUE,IR. AHMAD ZAINNIE BIN ABU HASSAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton, dan Van  Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Selangor,Tamat
4,ALLIED PACIFIC MOTOR (M) SDN. BHD.,"Lot 9641, Taman Desa Aman, Batu 11,Sungai Buluh,47000 Selangor D.E.",BKA642B003J123,8-Jul-15,C,(14)Jld.114,03-61566188,N/A,FCC CONSULTING ENGINEER,DATO' IR. FOONG CHOY CHYE,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Motosikal Tersebut Sahaja.",Selangor,Tamat
5,AMDAC (M) SDN BHD,"No.3, Jalan Utarid U5/1 (PS), Seksyen U5, 40150 Shah Alam, Selangor",BKA642B004J123,30-Apr-14,A,(18)Jld. 117,03-78443888,N/A,PERUNDING GAGASAN PRIMA SDN BHD,IR. MOHD NAWI BIN SALLEH,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Perdagangan Iaitu Kenderaan Rigid, Bas, Ambulan, Kenderaan Bagi Kegunaan Ketenteraan Dan Bomba Sahaja.",Selangor,Tamat
6,ARMSTRONG TIPPER SDN BHD.,"20, Jalan Signature Industrial 1, Signature Industrial Park, 43500 Semenyih,Selangor",BKA654B140J166,13-Feb-24,A,(28) Jld.41,03-89207417,pangkingaun@armstrong-grp.com,PERUNDING AUTO DINAMIK,IR. AHMAD ZAINNIE BIN ABU HASSAN,"type here

AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Dan Treler Sahaja.
2. Pemasangan Sistem Penutup Muatan Secara Automotik / Mekanisem.",Selangor,Laku
7,A-PLUS MANUFACTURING SDN BHD,"194-B,Jalan TUDM,Kampung Baru Subang,40150 Shah Alam,Selangor",BKA642B005J123,3-Nov-19,A,(24) Jld.156,03-78469397,sales@aplusgroup.com.my,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Kenderaan Rigid Decontrolled Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Sahaja.
3. Membina Jentera Pertanian, Comp",Selangor,Tamat
8,ARTABARA TECHNIK SDN. BHD.,"No. 119, Jalan Pendamar 27/90, Seksyen 27, 40400 Shah Alam, Selangor.",BKA654B006J163,10-Aug-23,A,(20) Jld. 34,03-56143748,artabaratech@gmail.com,TRANSAFE CONSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Semi Trailer Dan Van Sahaja.",Selangor,Laku
9,ARTIC RAIL SDN BHD,"No. 20, Jalan TSB3, Taman Industri Sungai Buloh, 47000 Sungai Buloh,Selangor",BKA654B125J162,23-July-23,A,(24) Jld.33,03-87063667,zamir5220@gmail.com,AAREC CONSULTANT,IR. AZHAN BIN AB RAHMAN,"AKTIVITI:
1. Pembinaan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, VaN Dan Kenderaan Decontrolled Sahaja.",Selangor,Laku
10,ASIA AUTOMOBILE INDUSTRIES SDN BHD,"Lot 1564, Batu 4, Jalan Kapar, 42100 Klang, Selangor",BKA642B007J123,30-May-17,B,(34) Jld. 132,03-32917905,hairulnizam@aaisb.com.my,FCC CONSULTING ENGINEER,DATO' IR. FOONG CHOY CHYE,"AKTIVITI:
1. Membuat Kerja-Kerja Pemasangan Dan Pengubahsuaian Teknikal Bagi Prime Mover, Van  Dan Kenderaan Rigid Sahaja.",Selangor,Tamat
11,ASIA JAYA ASSEMBLY SDN BHD,"Lot 118,Batu 16,Jalan Klang Banting,42600 Kuala Langat,Selangor",BKA654B008J156,13-Jan-22,A,(08)Jld.29,03-31913455,lahaddatu@auto@hotmail.com,MENARA TEKNIK,IR. MOHAMAD MOHAIDIN BIN AB. LATIB,"AKTIVIT:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Tersebut Sahaja.",Selangor,Tamat
12,AISA PACIFIC TRUCK & BUS SDN BHD,"Blok 2, PT 754, HS (D) 4111, 44200 Rasa, Selangor Darul Ehsan.",BKA654B149J166,7-Feb-24,A,(22)Jld.41,019-7570225,tan6399@gmail.com,DESATIC ENGINEERING SERVICE,IR CHOW SEI YING,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Bas Sahaja.",Selangor,Laku
13,ATLAS COPCO (MALAYSIA) SDN BHD,"2A Jalan Anggerik Mokara 31/58, Kota Kemuning Seksyen 31, 40460 Shah Alam, Selangor",BKA642B009J123,10-Oct-12,A,(26)Jld.84,03-51221860,N/A,R & R RESOURCES,IR. RAMLI BIN HAJI HITAM,,Selangor,Tamat
14,AUTOMOBILE BODY-BUILDING MANUFACTURER SDN.BHD.,"Lot 2635,2636 Kg Baru Sg. Buluh,47000 Sg. Buluh, Selangor.",BKA642B010J123,17-May-13,A,(16)Jld.90,03-61571628,N/A,BC TECH AVENUE,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Dan Van Sahaja.",Selangor,Tamat
15,AUTOMOTIVE CONVERSION ENGINEERING SDN. BHD.,"C/O Perusahaan Otomobil Nasional Sdn Bhd, Persiaran Kuala Selangor, Seksyen 26, 40400 Shah Alam,Selangor",BKA654B011J151,16-Aug-22,A,(18)Jld.22,03-51026248,rosdias@proton.com,TRANSAFE CONSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori dan Van Sahaja.
2. Membina dan Memasang Semua Jenis Motokar Baru Sahaja.",Selangor,Laku
16,AVIVA MASTER COACH TECHNOLOGY SDN BHD.,"Lot 849, Jalan Subang 7, Taman Perindustrian Subang, 47500 Subang Jaya, Selangor.",BKA654B158J158,2-Feb-22,A,(24)Jld.29,03-80216816,-,TRANSAFE CONSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Bas Sahaja.",Selangor,Tamat
17,AVP ENGINEERING (M) SDN BHD,"Lot No 4, Jalan Waja 15, Kawasan Perusahaan Telok Panglima Garang, 42500 Telok Panglima Garang, Selangor",BKA654B012J158,25-Feb-23,A,(04) Jld.30,03-31228262,info@avp.com.my,TRANSAFE CONSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Tersebut Sahaja.",Selangor,Laku
